locus_tag	ftype	length_bp	gene	EC_number	COG	product
DMAJDCCL_00087	CDS	495	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
DMAJDCCL_00088	CDS	489	hybE			Hydrogenase-2 operon protein HybE
DMAJDCCL_00089	CDS	342	hybF		COG0375	Hydrogenase maturation factor HybF
DMAJDCCL_00090	CDS	249	hybG		COG0298	Hydrogenase maturation factor HybG
DMAJDCCL_00091	CDS	981				IS110 family transposase IS621
DMAJDCCL_00092	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
DMAJDCCL_00093	CDS	1860	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
DMAJDCCL_00094	CDS	1500	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
DMAJDCCL_00095	CDS	693	tmk_1	2.7.4.9		Thymidylate kinase
DMAJDCCL_00096	CDS	699				hypothetical protein
DMAJDCCL_00097	CDS	759				hypothetical protein
DMAJDCCL_00098	CDS	1350				hypothetical protein
DMAJDCCL_00099	CDS	825				hypothetical protein
DMAJDCCL_00100	CDS	561	ytfJ_1		COG3054	putative protein YtfJ
DMAJDCCL_00101	CDS	1071				hypothetical protein
DMAJDCCL_00102	CDS	1080	lptG_1		COG0795	Lipopolysaccharide export system permease protein LptG
DMAJDCCL_00103	CDS	1173	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
DMAJDCCL_00104	CDS	249	acpP_1			Acyl carrier protein
DMAJDCCL_00105	CDS	915	oleD_1	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
DMAJDCCL_00106	CDS	1722		6.2.1.51	COG0318	4-hydroxyphenylalkanoate adenylyltransferase
DMAJDCCL_00107	CDS	1143	yghO			Protein YghO
DMAJDCCL_00108	CDS	765	glcC		COG2186	Glc operon transcriptional activator
DMAJDCCL_00109	CDS	1500		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
DMAJDCCL_00110	CDS	1053				hypothetical protein
DMAJDCCL_00111	CDS	1224	lutA_1			Lactate utilization protein A
DMAJDCCL_00112	CDS	405				hypothetical protein
DMAJDCCL_00113	CDS	2172	glcB	2.3.3.9	COG2225	Malate synthase G
DMAJDCCL_00114	CDS	1683	glcA		COG1620	Glycolate permease GlcA
DMAJDCCL_00115	CDS	4566				hypothetical protein
DMAJDCCL_00116	CDS	810	pppA		COG1989	Prepilin peptidase PppA
DMAJDCCL_00117	CDS	411	yghG			Lipoprotein YghG
DMAJDCCL_00118	CDS	819	gspC2			Type II secretion system protein C 2
DMAJDCCL_00119	CDS	2061	gspD2			Secretin GspD 2
DMAJDCCL_00120	CDS	1494	epsE_1		COG2804	Type II secretion system protein E
DMAJDCCL_00121	CDS	1224	epsF_1		COG1459	Type II secretion system protein F
DMAJDCCL_00122	CDS	456	epsG		COG2165	Type II secretion system protein G
DMAJDCCL_00123	CDS	564	epsH			Type II secretion system protein H
DMAJDCCL_00124	CDS	372				hypothetical protein
DMAJDCCL_00125	CDS	600	xcpW		COG4795	Type II secretion system protein J
DMAJDCCL_00126	CDS	978	gspK		COG3156	Putative type II secretion system protein K
DMAJDCCL_00127	CDS	1179				hypothetical protein
DMAJDCCL_00128	CDS	537	epsM_1		COG3149	Type II secretion system protein M
DMAJDCCL_00129	CDS	843				hypothetical protein
DMAJDCCL_00130	CDS	423				hypothetical protein
DMAJDCCL_00131	CDS	378	cbtA_1			Cytoskeleton-binding toxin CbtA
DMAJDCCL_00132	CDS	378	cbeA_1			Cytoskeleton bundling-enhancing antitoxin CbeA
DMAJDCCL_00133	CDS	222				hypothetical protein
DMAJDCCL_00134	CDS	477				hypothetical protein
DMAJDCCL_00135	CDS	474	klcA_1			Antirestriction protein KlcA
DMAJDCCL_00136	CDS	819				hypothetical protein
DMAJDCCL_00137	CDS	234				hypothetical protein
DMAJDCCL_00138	CDS	456				hypothetical protein
DMAJDCCL_00139	CDS	2517				hypothetical protein
DMAJDCCL_00140	CDS	3120	flu_1		COG3468	Antigen 43
DMAJDCCL_00141	CDS	873	era_1			GTPase Era
DMAJDCCL_00142	CDS	1020				hypothetical protein
DMAJDCCL_00143	CDS	216				hypothetical protein
DMAJDCCL_00144	CDS	573				hypothetical protein
DMAJDCCL_00145	CDS	207				hypothetical protein
DMAJDCCL_00146	CDS	213	hha_1			Hemolysin expression-modulating protein Hha
DMAJDCCL_00147	CDS	174				hypothetical protein
DMAJDCCL_00148	CDS	570				hypothetical protein
DMAJDCCL_00149	CDS	384				hypothetical protein
DMAJDCCL_00150	CDS	117				hypothetical protein
DMAJDCCL_00151	CDS	183				hypothetical protein
DMAJDCCL_00152	CDS	624				hypothetical protein
DMAJDCCL_00153	CDS	234				hypothetical protein
DMAJDCCL_00154	CDS	498				hypothetical protein
DMAJDCCL_00155	CDS	1362				hypothetical protein
DMAJDCCL_00156	CDS	1245				hypothetical protein
DMAJDCCL_00157	CDS	1746	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
DMAJDCCL_00158	CDS	309				hypothetical protein
DMAJDCCL_00159	CDS	228				hypothetical protein
DMAJDCCL_00160	CDS	645				hypothetical protein
DMAJDCCL_00161	CDS	324				hypothetical protein
DMAJDCCL_00162	CDS	198				IS481 family transposase ISEc18
DMAJDCCL_00163	CDS	207				hypothetical protein
DMAJDCCL_00164	CDS	267				IS630 family transposase ISSpu2
DMAJDCCL_00165	CDS	477				hypothetical protein
DMAJDCCL_00166	CDS	1479				hypothetical protein
DMAJDCCL_00167	CDS	507				hypothetical protein
DMAJDCCL_00168	CDS	423				hypothetical protein
DMAJDCCL_00169	CDS	1803				hypothetical protein
DMAJDCCL_00170	CDS	933				hypothetical protein
DMAJDCCL_00171	CDS	1983	vgrG1_1	6.3.2.-		Actin cross-linking toxin VgrG1
DMAJDCCL_00172	CDS	468				hypothetical protein
DMAJDCCL_00173	CDS	300				hypothetical protein
DMAJDCCL_00174	CDS	1077				hypothetical protein
DMAJDCCL_00175	CDS	552				hypothetical protein
DMAJDCCL_00176	CDS	1413				hypothetical protein
DMAJDCCL_00177	CDS	219				hypothetical protein
DMAJDCCL_00178	CDS	591				hypothetical protein
DMAJDCCL_00179	CDS	3405				hypothetical protein
DMAJDCCL_00180	CDS	2550	clpV1_1		COG0542	Protein ClpV1
DMAJDCCL_00181	CDS	564				hypothetical protein
DMAJDCCL_00182	CDS	1524				hypothetical protein
DMAJDCCL_00183	CDS	387				IS3 family transposase IS629
DMAJDCCL_00184	CDS	150				hypothetical protein
DMAJDCCL_00185	CDS	120				hypothetical protein
DMAJDCCL_00186	CDS	117				hypothetical protein
DMAJDCCL_00187	CDS	567				hypothetical protein
DMAJDCCL_00188	CDS	1155				hypothetical protein
DMAJDCCL_00189	CDS	186				IS66 family transposase IS682
DMAJDCCL_00190	CDS	1134				IS110 family transposase ISEc45
DMAJDCCL_00191	CDS	1614				IS66 family transposase ISEc43
DMAJDCCL_00192	CDS	351				hypothetical protein
DMAJDCCL_00193	CDS	435				hypothetical protein
DMAJDCCL_00194	CDS	432				IS66 family transposase ISEc8
DMAJDCCL_00195	CDS	219				IS256 family transposase IS1414
DMAJDCCL_00196	CDS	4119	pic_1	3.4.21.-		Serine protease pic autotransporter
DMAJDCCL_00197	CDS	387				IS3 family transposase IS629
DMAJDCCL_00198	CDS	1524				hypothetical protein
DMAJDCCL_00199	CDS	240				hypothetical protein
DMAJDCCL_00200	CDS	1152			COG2826	IS30 family transposase IS30
DMAJDCCL_00201	CDS	351				hypothetical protein
DMAJDCCL_00202	CDS	294				hypothetical protein
DMAJDCCL_00203	CDS	2871				hypothetical protein
DMAJDCCL_00204	CDS	1629				hypothetical protein
DMAJDCCL_00205	CDS	2388				hypothetical protein
DMAJDCCL_00206	CDS	981	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
DMAJDCCL_00207	CDS	2850	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
DMAJDCCL_00208	CDS	594				hypothetical protein
DMAJDCCL_00209	CDS	264				hypothetical protein
DMAJDCCL_00210	CDS	378			COG1662	IS1 family transposase IS1R
DMAJDCCL_00211	CDS	276			COG1662	IS1 family transposase IS1A
DMAJDCCL_00212	CDS	1263	intS_1		COG0582	Prophage integrase IntS
DMAJDCCL_00213	tRNA	76				tRNA-Phe(gaa)
DMAJDCCL_00214	CDS	708				hypothetical protein
DMAJDCCL_00215	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
DMAJDCCL_00216	CDS	1257	nupG			Nucleoside permease NupG
DMAJDCCL_00217	CDS	1080	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
DMAJDCCL_00218	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
DMAJDCCL_00219	CDS	1053	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
DMAJDCCL_00220	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
DMAJDCCL_00221	CDS	327			COG3171	putative protein
DMAJDCCL_00222	CDS	720				hypothetical protein
DMAJDCCL_00223	CDS	1047	ansB	3.5.1.1	COG0252	L-asparaginase 2
DMAJDCCL_00224	CDS	1008				hypothetical protein
DMAJDCCL_00225	CDS	1137	hemW		COG0635	Heme chaperone HemW
DMAJDCCL_00226	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
DMAJDCCL_00227	CDS	291				hypothetical protein
DMAJDCCL_00228	CDS	567				hypothetical protein
DMAJDCCL_00229	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
DMAJDCCL_00230	CDS	981	yggR_1		COG2805	putative protein YggR
DMAJDCCL_00231	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
DMAJDCCL_00232	CDS	636				hypothetical protein
DMAJDCCL_00233	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
DMAJDCCL_00234	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
DMAJDCCL_00235	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
DMAJDCCL_00236	CDS	456	sprT			Protein SprT
DMAJDCCL_00237	CDS	1395	galP			Galactose-proton symporter
DMAJDCCL_00238	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
DMAJDCCL_00239	CDS	252				hypothetical protein
DMAJDCCL_00240	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
DMAJDCCL_00241	CDS	732				hypothetical protein
DMAJDCCL_00242	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
DMAJDCCL_00243	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
DMAJDCCL_00244	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
DMAJDCCL_00245	CDS	444	cmtB		COG1762	Mannitol-specific cryptic phosphotransferase enzyme IIA component
DMAJDCCL_00246	CDS	1389	mtlA_1			PTS system mannitol-specific EIICB component
DMAJDCCL_00247	CDS	1278	yggP	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
DMAJDCCL_00248	CDS	966	yggF	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 2 class 2
DMAJDCCL_00249	CDS	510	fumE	4.2.1.2	COG3722	Fumarase E
DMAJDCCL_00250	CDS	714	coaA_1	2.7.1.33		Pantothenate kinase
DMAJDCCL_00251	CDS	678	ecfA1_1	7.-.-.-		Energy-coupling factor transporter ATP-binding protein EcfA1
DMAJDCCL_00252	CDS	678	ecfA1_2	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
DMAJDCCL_00253	CDS	708				hypothetical protein
DMAJDCCL_00254	CDS	579				hypothetical protein
DMAJDCCL_00255	CDS	432				hypothetical protein
DMAJDCCL_00256	CDS	1020	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
DMAJDCCL_00257	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
DMAJDCCL_00258	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
DMAJDCCL_00259	CDS	861	mscS		COG0668	Small-conductance mechanosensitive channel
DMAJDCCL_00260	CDS	636	argO		COG1279	Arginine exporter protein ArgO
DMAJDCCL_00261	CDS	741			COG2968	26 kDa periplasmic immunogenic protein
DMAJDCCL_00262	CDS	897	cynR_1			HTH-type transcriptional regulator CynR
DMAJDCCL_00263	CDS	1479	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
DMAJDCCL_00264	CDS	786	scpB	4.1.1.-	COG1024	Methylmalonyl-CoA decarboxylase
DMAJDCCL_00265	CDS	996	argK	3.6.5.-	COG1703	GTPase ArgK
DMAJDCCL_00266	CDS	1293	scpA_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
DMAJDCCL_00267	CDS	729	scpA_2	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
DMAJDCCL_00268	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
DMAJDCCL_00269	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
DMAJDCCL_00270	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
DMAJDCCL_00271	CDS	603	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
DMAJDCCL_00272	CDS	330	zapA		COG3027	Cell division protein ZapA
DMAJDCCL_00273	CDS	579				hypothetical protein
DMAJDCCL_00274	CDS	1326	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
DMAJDCCL_00275	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
DMAJDCCL_00276	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
DMAJDCCL_00277	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
DMAJDCCL_00278	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
DMAJDCCL_00279	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
DMAJDCCL_00280	CDS	744	ygfF	1.-.-.-		putative oxidoreductase YgfF
DMAJDCCL_00281	CDS	1434	bglA_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
DMAJDCCL_00282	CDS	312				hypothetical protein
DMAJDCCL_00283	CDS	660				hypothetical protein
DMAJDCCL_00284	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
DMAJDCCL_00285	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
DMAJDCCL_00286	CDS	408	ygfX			Inner membrane protein YgfX
DMAJDCCL_00287	CDS	522	fldB		COG0716	Flavodoxin 2
DMAJDCCL_00288	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
DMAJDCCL_00289	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
DMAJDCCL_00290	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
DMAJDCCL_00291	CDS	882	prfB_1		COG1186	Peptide chain release factor RF2
DMAJDCCL_00292	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
DMAJDCCL_00293	CDS	549	idi_1	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
DMAJDCCL_00294	CDS	126	yqfG			putative protein YqfG
DMAJDCCL_00295	CDS	1449	uacT		COG2233	Uric acid transporter UacT
DMAJDCCL_00296	CDS	1920		1.18.1.2		Ferredoxin--NADP reductase
DMAJDCCL_00297	CDS	489	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
DMAJDCCL_00298	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
DMAJDCCL_00299	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
DMAJDCCL_00300	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
DMAJDCCL_00301	CDS	2871	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
DMAJDCCL_00302	CDS	780				hypothetical protein
DMAJDCCL_00303	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
DMAJDCCL_00304	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
DMAJDCCL_00305	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
DMAJDCCL_00306	CDS	771				hypothetical protein
DMAJDCCL_00307	CDS	1626				hypothetical protein
DMAJDCCL_00308	CDS	933	arcC1_1	2.7.2.2		Carbamate kinase 1
DMAJDCCL_00309	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
DMAJDCCL_00310	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
DMAJDCCL_00311	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
DMAJDCCL_00312	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
DMAJDCCL_00313	CDS	1779	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
DMAJDCCL_00314	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
DMAJDCCL_00315	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
DMAJDCCL_00316	CDS	2298	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
DMAJDCCL_00317	CDS	756	nlpD_1			Murein hydrolase activator NlpD
DMAJDCCL_00318	tRNA	74				tRNA-Gly(ccc)
DMAJDCCL_00319	CDS	1611				hypothetical protein
DMAJDCCL_00320	CDS	366				hypothetical protein
DMAJDCCL_00321	CDS	417				hypothetical protein
DMAJDCCL_00322	CDS	486	spaP		COG4790	Surface presentation of antigens protein SpaP
DMAJDCCL_00323	CDS	261	spaQ		COG4794	Surface presentation of antigens protein SpaQ
DMAJDCCL_00324	CDS	768	spaR		COG4791	Surface presentation of antigens protein SpaR
DMAJDCCL_00325	CDS	603				hypothetical protein
DMAJDCCL_00326	CDS	168	spaS_1		COG1377	Surface presentation of antigens protein SpaS
DMAJDCCL_00327	CDS	363	spaS_2		COG1377	Surface presentation of antigens protein SpaS
DMAJDCCL_00328	CDS	294				hypothetical protein
DMAJDCCL_00329	CDS	501				hypothetical protein
DMAJDCCL_00330	CDS	1182	prgH			Protein PrgH
DMAJDCCL_00331	CDS	156				hypothetical protein
DMAJDCCL_00332	CDS	165				hypothetical protein
DMAJDCCL_00333	CDS	735	prgK		COG4669	Lipoprotein PrgK
DMAJDCCL_00334	CDS	582	orgA			Oxygen-regulated invasion protein OrgA
DMAJDCCL_00335	CDS	432				hypothetical protein
DMAJDCCL_00336	CDS	156				hypothetical protein
DMAJDCCL_00337	CDS	444	ygeK			putative response regulatory protein YgeK
DMAJDCCL_00338	CDS	375				hypothetical protein
DMAJDCCL_00339	CDS	219				hypothetical protein
DMAJDCCL_00340	CDS	1377	hilA		COG0457	Transcriptional regulator HilA
DMAJDCCL_00341	CDS	492	sicA		COG0457	Chaperone protein SicA
DMAJDCCL_00342	CDS	438				hypothetical protein
DMAJDCCL_00343	CDS	426				hypothetical protein
DMAJDCCL_00344	CDS	141				hypothetical protein
DMAJDCCL_00345	CDS	483				hypothetical protein
DMAJDCCL_00346	CDS	810				hypothetical protein
DMAJDCCL_00347	CDS	132				hypothetical protein
DMAJDCCL_00348	CDS	633				hypothetical protein
DMAJDCCL_00349	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
DMAJDCCL_00350	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
DMAJDCCL_00351	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
DMAJDCCL_00352	CDS	762	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
DMAJDCCL_00353	CDS	1419	araE			Arabinose-proton symporter
DMAJDCCL_00354	CDS	693	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
DMAJDCCL_00355	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
